flight_id,aircraft,flight_hours
FLIGHT_0001,N301VR,2.93
FLIGHT_0002,N610TX,4.47
FLIGHT_0003,N301VR,3.23
FLIGHT_0004,N579MH,4.15
FLIGHT_0005,N579MH,3.98
FLIGHT_0006,N99CT,2.84
FLIGHT_0007,N99CT,3.55
FLIGHT_0008,N604CH,2.74
FLIGHT_0009,N452M,4.02
FLIGHT_0010,N716TM,4.99
FLIGHT_0011,N523AR,5.17
FLIGHT_0012,N71HC,2.85
FLIGHT_0013,N301VR,3.08
FLIGHT_0014,N372MZ,3.95
FLIGHT_0015,N452M,3.45
FLIGHT_0016,N716TM,2.87
FLIGHT_0017,N610TX,3.4
FLIGHT_0018,N301VR,3.54
FLIGHT_0019,N604XT,5.12
FLIGHT_0020,N523AR,5.59
FLIGHT_0021,N523AR,4.42
FLIGHT_0022,N523AR,4.74
FLIGHT_0023,N716TM,5.04
FLIGHT_0024,N372MZ,2.4
FLIGHT_0025,N372MZ,3.09
FLIGHT_0026,N716TM,4.4
FLIGHT_0027,N452M,4.78
FLIGHT_0028,N716TM,4.79
FLIGHT_0029,N372MZ,3.97
FLIGHT_0030,N99CT,3.25
FLIGHT_0031,N99CT,3.63
FLIGHT_0032,N716TM,3.87
FLIGHT_0033,N579MH,3.24
FLIGHT_0034,N604XT,3.8
FLIGHT_0035,N71HC,4.13
FLIGHT_0036,N301VR,2.91
FLIGHT_0037,N71HC,3.16
FLIGHT_0038,N372MZ,4.07
FLIGHT_0039,N372MZ,3.18
FLIGHT_0040,N99CT,3.51
FLIGHT_0041,N301VR,3.51
FLIGHT_0042,N604CH,3.34
FLIGHT_0043,N301VR,3.23
FLIGHT_0044,N301VR,2.85
FLIGHT_0045,N301VR,4.16
FLIGHT_0046,N523AR,4.52
FLIGHT_0047,N523AR,3.53
FLIGHT_0048,N604XT,4.42
FLIGHT_0049,N716TM,4.45
FLIGHT_0050,N372MZ,2.28
FLIGHT_0051,N99CT,4.13
FLIGHT_0052,N452M,3.11
FLIGHT_0053,N579MH,5.13
FLIGHT_0054,N579MH,4.28
FLIGHT_0055,N99CT,2.74
FLIGHT_0056,N301VR,3.2
FLIGHT_0057,N523AR,5.02
FLIGHT_0058,N604XT,4.14
FLIGHT_0059,N301VR,4.05
