trip_id,aircraft,trip_type,trip_start_month,price
TRIP_0001,N71HC,Charter flight,2025-12-01,17963.41
TRIP_0002,N610TX,Charter flight,2025-05-01,18853.89
TRIP_0003,N372MZ,Charter flight,2025-01-01,43691.8
TRIP_0004,N579MH,Charter flight,2025-05-01,26444.36
TRIP_0005,N99CT,Owner flight,2025-04-01,22470.86
TRIP_0006,N99CT,Charter flight,2025-06-01,18907.3
TRIP_0007,N301VR,Charter flight,2025-03-01,20653.32
TRIP_0008,N452M,Owner flight,2025-11-01,26265.38
TRIP_0009,N579MH,Charter flight,2025-05-01,19749.54
TRIP_0010,N372MZ,Charter flight,2025-02-01,36824.96
TRIP_0011,N301VR,Charter flight,2025-11-01,24528.24
TRIP_0012,N610TX,Charter flight,2025-06-01,22914.86
TRIP_0013,N452M,Charter flight,2026-01-01,25003.85
TRIP_0014,N99CT,Charter flight,2025-12-01,21032.16
TRIP_0015,N99CT,Charter flight,2025-06-01,22008.63
TRIP_0016,N99CT,Charter flight,2025-05-01,20774.44
TRIP_0017,N716TM,Owner flight,2025-06-01,37133.38
TRIP_0018,N495DD,Charter flight,2025-11-01,31339.17
TRIP_0019,N523AR,Owner flight,2025-07-01,38169.39
TRIP_0020,N716TM,Charter flight,2025-12-01,36176.99
TRIP_0021,N579MH,Owner flight,2025-05-01,24219.31
TRIP_0022,N301VR,Charter flight,2025-01-01,24865.98
TRIP_0023,N716TM,Charter flight,2025-08-01,33938.46
TRIP_0024,N71HC,Charter flight,2025-04-01,23519.56
TRIP_0025,N523AR,Charter flight,2025-09-01,40229.11
TRIP_0026,N604CH,Charter flight,2026-02-01,38422.18
TRIP_0027,N99CT,Owner flight,2025-10-01,18087.25
TRIP_0028,N495DD,Owner flight,2025-12-01,36436.31
TRIP_0029,N579MH,Charter flight,2025-06-01,30854.66
TRIP_0030,N301VR,Charter flight,2025-01-01,15953.62
TRIP_0031,N579MH,Charter flight,2025-03-01,23343.2
TRIP_0032,N99CT,Charter flight,2025-03-01,23405.77
TRIP_0033,N301VR,Charter flight,2025-10-01,20211.7
TRIP_0034,N610TX,Charter flight,2025-12-01,22524.72
